,gender,GPA,degree,decision,probability
0,female,0.25386490971844905,master,False,0.31312795839755825
1,female,0.09487754732819226,master,False,0.3242663793055238
2,female,-0.4154718859445321,master,False,0.345797999092296
3,male,-0.2230971774523213,bachelor,False,0.2298262541098767
4,female,1.2077890840599896,bachelor,False,0.29332318141571695
5,female,-0.06410981506206452,master,True,0.32641044763402227
6,male,-1.6539834389646322,bachelor,False,0.21929973500454766
7,male,-0.38208453984257806,bachelor,True,0.22372322785280105
8,female,0.25386490971844905,bachelor,True,0.16128156855664902
9,male,-0.7000592646230916,master,False,0.44222879539086507
10,female,-0.8590466270133484,bachelor,False,0.12887410524555892
11,female,0.09487754732819226,bachelor,False,0.15247188678052903
12,other,0.25386490971844905,master,False,0.37570850508822135
13,male,-0.7000592646230916,master,False,0.44222879539086507
14,male,-0.06410981506206452,bachelor,False,0.23077467796982623
15,female,-0.7000592646230916,bachelor,False,0.12887410524555892
16,male,-0.06410981506206452,bachelor,False,0.23077467796982623
17,female,-1.0180339894036052,bachelor,False,0.12887410524555892
18,male,-1.9719581637451458,bachelor,False,0.17665360380327202
19,female,-1.3360087141841188,master,False,0.35434846275035653
20,female,1.8437385336210168,phd,False,0.5012737464248466
21,male,-2.1309455261354024,bachelor,False,0.15148661312014888
22,other,-0.38208453984257806,bachelor,False,0.14026708572610527
23,female,0.25386490971844905,bachelor,False,0.16128156855664902
24,female,-0.2230971774523213,bachelor,False,0.14557507542503775
25,female,0.25386490971844905,master,True,0.31312795839755825
26,male,0.4128522721087058,master,True,0.5495566660960589
27,female,-0.2230971774523213,master,True,0.34293569762608855
28,male,1.3667764464502465,bachelor,False,0.2872182917314883
29,other,-1.3360087141841188,bachelor,False,0.16639566697942856
30,other,1.68475117123076,master,True,0.3922505977381745
31,male,-0.8590466270133484,bachelor,False,0.22238605744181372
32,male,-0.38208453984257806,bachelor,True,0.22372322785280105
33,female,-0.5410719022328349,bachelor,True,0.13293531586253504
34,female,1.048801721669733,bachelor,False,0.29332318141571695
35,male,-0.38208453984257806,master,False,0.44324741166747444
36,male,-0.06410981506206452,bachelor,False,0.23077467796982623
37,male,-1.6539834389646322,master,True,0.40186644229995444
38,female,1.3667764464502465,master,False,0.42805560548604654
39,male,-1.0180339894036052,bachelor,True,0.22238605744181372
40,female,-1.0180339894036052,master,False,0.3484819680842095
41,female,0.4128522721087058,bachelor,False,0.33361346250354273
42,male,1.314310616861462,master,True,0.5776008323604992
43,female,-1.3360087141841188,bachelor,False,0.1281225646710095
44,female,0.25386490971844905,bachelor,False,0.16128156855664902
45,male,-0.38208453984257806,bachelor,False,0.22372322785280105
46,female,0.5718396344989626,master,False,0.3844014599832774
47,female,2.4001943019869154,master,False,0.5599209801847205
48,female,0.09487754732819226,master,False,0.3242663793055238
49,female,2.0027258960112735,master,True,0.49045146290709246
50,male,0.5718396344989626,bachelor,False,0.3012617606636258
51,male,0.09487754732819226,bachelor,False,0.23077467796982623
52,other,1.2077890840599896,master,True,0.3469777833292696
53,female,1.048801721669733,master,False,0.4212694730831993
